company_id,company_market_id,company_name,is_dead_company,is_fake_company,is_geo_enabled_company,is_shiftgig_company,is_status_company,tenant_id,updated
251,1,Sodexo | Northwestern University:McCormick School of Engineering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3757,10,The Victory Ship Inc.,false,false,false,false,true,1,2018-04-13T09:38:34.977732
32,1,Do Not Use- Levy Restaurants,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3517,28,Initech NY,false,true,false,false,true,3,2017-10-29T12:43:41.415538
322,3,Compass | Wolfgang | Nasher Sculpture Museum,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1753,4,Atl | Aramark | Frank Bailey Senior Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2119,7,Ingram Micro,false,false,false,false,true,1,2017-09-21T20:00:53.065618
430,1,WeWork,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3774,6,SCHOOL - Advertising Agency,false,false,false,false,true,1,2018-04-20T10:38:05.444349
2503,1,Sodexo Northwestern University PTI Events,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2462,2,Compass | Flik | Hewitt School,false,false,false,false,true,1,2017-09-21T20:00:53.065618
10,1,Caffe Baci,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2382,6,Attack Marketing | LICOR 43,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1579,1,Marcus | AC Hotel Chicago,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3283,9,Marriott Intl | Residence Inn Tempe Downtown/University,false,false,false,false,true,1,2017-09-21T20:00:53.065618
768,2,Kennedy Child Study Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
557,1,Jewell Events Catering (Master Account Do Not Use),true,false,false,false,true,1,2017-09-21T20:00:53.065618
1678,8,Baymont INN and Suites,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1825,1,Compass | Cafe Bon Appetit | University of Chicago,false,false,false,false,true,1,2017-09-21T20:00:53.065618
850,1,Swipesense,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1550,2,Mary Giuliani Catering & Events,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2311,10,Therapeutic Elements Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1874,10,Compass | Restaurant Associates | Raymond James Financial,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1659,5,Compass | Eurest | Nabors,false,false,false,false,true,1,2017-12-12T15:03:12.883166
484,1,Quest | BZAEDS,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1452,6,React Presents,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1108,10,Do Not Use-Grilled Brazilian LLC,true,false,false,false,true,1,2017-09-21T20:00:53.065618
1231,10,Bon-Aire Resort,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2559,5,Sodexo | Pearland Regional Medical Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
621,3,At Your Service Catering - Dallas,false,false,false,false,true,1,2018-01-05T09:49:09.892574
1422,12,Marriott Milwaukee West,false,false,true,false,true,1,2017-09-21T20:00:53.065618
2429,8,(DELETE) Sage Dining | St Thomas of the Apostles,true,false,false,false,true,1,2017-09-21T20:00:53.065618
2751,1,"French & Son's, Inc.",false,false,false,false,true,1,2017-09-21T20:00:53.065618
2018,4,Compass | Flik | Trinity School,false,false,false,false,true,1,2017-09-21T20:00:53.065618
523,1,Food For Thought : Take Five,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1591,2,Sodexo | Harris Corporation,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3505,27,Shiftgig University - NOLA Campus,false,true,false,true,true,3,2017-11-28T13:30:20.707443
2945,10,Mainsail | Epicurean Hotel,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1608,9,Aaron's Fulfillment Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1381,1,Quest | St. Ignatius College Prep,false,false,false,false,true,1,2018-01-30T11:06:19.375262
911,1,Nordstrom Rack,false,false,false,false,true,1,2017-09-21T20:00:53.065618
546,1,Hard Rock Hotel (Master Account Do Not Use),true,false,false,false,true,1,2017-09-21T20:00:53.065618
17,1,Chicago Yacht Club | Monroe Harbor,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2209,12,Nordstrom Rack | Mayfair Collection,false,false,true,false,true,1,2018-02-13T16:24:03.150846
3458,23,Driscoll's Superstore Memphis,false,true,false,false,true,3,2017-10-27T19:31:04.659624
1129,10,Compass | Canteen | Culinary Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
829,6,Impact XM,false,false,false,false,true,1,2018-03-22T10:58:14.699204
2679,13,Sodexo | Belmont University | Curb Cafe,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1145,3,Ruthie's Rolling Cafe,false,false,false,false,true,1,2017-09-21T20:00:53.065618
319,3,DO NOT USE-DELETE,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3389,1,PLI (Plasticard-Locktech International LLC),false,false,false,false,true,1,2017-10-11T09:58:00.872616
1015,8,Do Not Use-The Event Production Company,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3371,5,Compass | Levy | George R. Brown Convention Center,false,false,false,false,true,1,2017-09-28T19:14:31.382659
1146,7,Mahaffey Tent and Party Rentals,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2582,6,Rose Bowl Aquatics,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3395,8,Bash Creative,false,false,false,false,true,1,2017-10-10T11:37:50.651313
347,6,Kono Pizza,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1217,9,Santa Barbara Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
988,9,Shiftgig | Phoenix,false,false,false,true,true,1,2017-09-21T20:00:53.065618
384,2,Aramark - NYU Torch Club,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1941,1,Compass | Eurest | Cafe 71 at Hyatt Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
483,6,Buffalo Spider,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1268,8,Marriott Intl | Palm Beach Singer Island,false,false,true,false,true,1,2017-11-29T16:31:30.370088
1756,13,SAGE Dining | Davidson Academy,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1344,1,Compass | Morrison | Northwestern Hospital,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1888,9,Do Not Use- Starwood | Aloft Scottsdale,true,false,false,false,true,1,2017-09-21T20:00:53.065618
1992,3,Compass I Wolfgang Puck I Dallas I Kitchen,false,false,false,false,true,1,2017-09-21T20:00:53.065618
482,2,Aramark | Citi Field,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1116,1,Meritex Centralized Laundry-Hilton,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2099,10,Do Not Use-MDM Hotels | St. Petersburg Marriott Clearwater,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3543,31,Hotel Tampa,false,true,false,false,true,3,2017-10-29T13:22:24.796246
1884,11,Fleur de Lis Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
684,1,Quest | Hinsdale Central,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1332,7,TGI Fridays Winchester Road,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1374,4,Atl-Simply Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1759,5,Sodexo | Memorial Hermann TMC | Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2401,9,Do Not Use-Compass | Eurest | GM Financial,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3347,4,Silverspoon Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2551,4,Atl | Aramark | Americas Mart | Cafe,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2921,4,Marriott Intl | Stone Mountain Inn,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1379,4,Atl | Clubcorp | Atlanta National,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2020,6,Do Not Use-Q1 Productions,true,false,false,false,true,1,2017-09-21T20:00:53.065618
812,6,Do Not Use-New SGX Client,true,false,false,false,true,1,2017-09-21T20:00:53.065618
489,4,Golf Club of Georgia,false,false,false,false,true,1,2018-03-19T18:57:58.774704
1272,3,DO NOT USE,true,false,false,false,true,1,2017-09-21T20:00:53.065618
1616,7,Hilton | East Memphis,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2925,13,Aramark | Vanderbilt Hospital,false,false,true,false,true,1,2017-09-21T20:00:53.065618
248,1,Reverie,false,false,false,false,true,1,2017-09-21T20:00:53.065618
793,9,Aramark | Edward Jones,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1935,1,Quest | Guerin Prep,false,false,false,false,true,1,2018-02-13T16:59:06.230046
2636,10,Lakewood Ranch Golf and Country Club,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2452,1,Do Not Use-Quest | Orland Junior High,true,false,false,false,true,1,2017-09-21T20:00:53.065618
1988,9,Red Bull Distribution,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3741,6,Robert Fountain International,false,false,false,false,true,1,2018-04-04T12:00:58.362328
1713,2,Presidential Luxury Limo,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3621,13,TPAC (Tennessee Performing Arts Center),false,false,false,false,true,1,2017-12-14T09:02:23.056776
2044,13,Sage | University School of Nashville,false,false,true,false,true,1,2017-10-10T16:00:53.727238
987,9,Tom and Lin Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3257,1,Burnham Park Yacht Club,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1582,7,Compass | Morrison | Regional One Health,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1838,2,Compass CDC Warehouse,false,false,false,false,true,1,2017-09-21T20:00:53.065618
914,9,Tableside Gourmet,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2104,8,Biltmore Hotel Miami | Purchasing,false,false,true,false,true,1,2017-10-30T15:00:36.461164
794,4,Atl-Sodexo-Cox Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1444,2,LT Apparel Group,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2190,1,Do Not Use-Naperville Rack #269,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3694,9,Compass | Canteen | Tradecraft Outfitters - Arizona,false,false,false,false,true,1,2018-02-20T08:56:48.950005
848,4,Atl-Sodexo-UPS CAFE 55,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1610,5,Compass | Bon Appetit Phillips 66,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2715,4,Walmart Store 3775-Howell Mil,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3302,2,Ahold ECommerce Sales Company | Ops Support,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1341,2,Marcus Samuelsson Group,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1387,5,Avendra | Magnolia Hotel,false,false,false,false,true,1,2018-04-10T15:47:37.106804
2056,10,Sage Dining | Trinity Preparatory School,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2893,2,Compass | Restaurant Associates | RMA Commissary,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1312,10,Delaware North | Amalie Arena,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3766,19,Lexington Convention Center,false,true,false,false,true,3,2018-04-18T08:34:28.221331
2831,2,Fox Broadcasting,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2226,1,Test Company 99e69557-f15f-43b4-8ab9-e2d032ebad4b,false,true,false,false,true,1,2017-09-21T20:00:53.065618
2635,7,Bellevue Baptist Church,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3398,6,Global Learning Partners,false,false,true,false,true,1,2017-10-10T15:15:47.268202
477,5,Weiss Enterprises,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2365,5,Taste of The NFL,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1665,8,Compass | University Of Miami Hospital | Sanitation,false,false,true,false,true,1,2017-10-30T15:03:41.033275
231,1,Sodexo | Argonne,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3635,10,Cypress Run Golf Club,false,false,false,false,true,1,2017-12-26T15:47:57.765437
1180,3,Dinner Lab Dallas,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2003,2,Compass | Restaurant Associates | Federal Reserve NJ 26399,false,false,false,false,true,1,2017-12-08T07:35:46.432776
2762,10,Morrison Healthcare | Tampa General Hospital,false,false,false,false,true,1,2017-09-21T20:00:53.065618
170,2,Aramark | BNY Mellon | 1 Wall,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1631,6,Do Not Use- Rcano Events,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3297,6,Junction 311 Sports,false,false,false,false,true,1,2017-09-21T20:00:53.065618
594,5,Aramark | Houston Baptist University | Dining,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2623,8,Aramark | HeartWare,false,false,true,false,true,1,2017-10-30T14:59:42.936785
656,1,Galleria Marchetti,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1424,2,Compass | Coffee Distributing Corp | Warehouse Distribution Cen,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1772,1,Sodexo | Glenbard High Schools,false,false,false,false,true,1,2017-09-21T20:00:53.065618
898,7,Bluefin Restaurant,false,false,false,false,true,1,2017-09-21T20:00:53.065618
853,9,Sodexo | PayPal Cafe,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3095,6,Safeway / Albertons,false,false,true,false,true,1,2018-01-04T16:34:43.583295
3296,2,Compass | Eurest | SAP Hudson Yards,false,false,true,false,true,1,2018-01-16T08:10:56.842694
1974,6,Marketing Werks | COPA,false,false,true,false,true,1,2018-03-05T15:14:30.200581
3086,9,Avendra | Embassy Suites by Hilton Tempe,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2141,4,Do Not Use-Compass | Bon Appetit | SCAD,true,false,false,false,true,1,2017-09-21T20:00:53.065618
2504,5,Houston's First Baptist Church,false,false,false,false,true,1,2018-04-03T13:30:13.526374
157,6,IAPD Convention,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3446,12,Avendra | Holiday Inn Milwaukee Riverfront,false,false,false,false,true,1,2017-10-27T14:02:24.745521
1011,4,Atl | Clubcorp | Polo Fields Country Club,false,false,false,false,true,1,2018-03-05T11:41:46.888480
3041,5,Macy's | Distribution Center | Houston | Shuttle,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2064,11,New Orleans Lawn Tennis Club,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3416,10,Avendra | Club Corp | Hunter's Green Country Club,false,false,false,false,true,1,2017-10-23T09:53:27.092160
2583,11,SAGE Dining | Isidore Newman School,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1777,9,Guidant | Starwood | W Hotel Scottsdale,false,false,false,false,true,1,2017-11-16T10:22:29.014719
734,2,Northern Bell,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2436,9,Compass | Eurest | Honeywell-1206 Cafe,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2507,10,Nellie's Deli Market and Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
542,1,Embassy Suites Chicago (Master Account Do Not Use),true,false,false,false,true,1,2017-09-21T20:00:53.065618
3602,9,Walmart | Phoenix #6477,false,false,false,false,true,1,2017-12-01T16:28:34.093566
2651,10,ABC Packaging,false,false,false,false,true,1,2017-09-21T20:00:53.065618
920,1,Compass | Morrison | Park Plaza,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1670,11,Shiftgig New Orleans,false,false,false,true,true,1,2017-09-21T20:00:53.065618
2628,4,Metz Culinary Management  | Atlanta International School,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2372,3,"Avendra | Le Meridien, Stoneleigh",false,false,false,false,true,1,2017-09-21T20:00:53.065618
2230,1,Test Company 04917dcf-e034-431f-9185-8b8cc7bb63e8,false,true,false,false,true,1,2017-09-21T20:00:53.065618
832,3,Aramark | Capital One | Building 5 & 6,false,false,false,false,true,1,2017-09-21T20:00:53.065618
504,1,Field Museum | 3D Theater,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3704,3,Eating Royally,false,false,false,false,true,1,2018-02-28T10:27:32.018136
1370,9,Compass | Levy | Pro Sports Catering | Peoria Sports Complex,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1780,2,Compass | Canteen | Canteen Culinary Center,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2129,10,Marriott Intl | Renaissance Tampa International Plaza Hotel,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2108,9,Nordstrom Rack  | Chandler Festival,false,false,false,false,true,1,2018-02-15T09:29:17.303308
629,3,APDT,false,false,false,false,true,1,2017-11-22T10:58:49.594154
381,,CASE,false,false,false,false,true,1,2017-09-21T20:00:53.065618
604,3,Do Not Use-Highland Springs Kitchen,true,false,false,false,true,1,2017-09-21T20:00:53.065618
1651,11,Centerplate | National World War II Museum,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1237,9,Bravo Warehouse & Distribution,false,false,false,false,true,1,2017-09-21T20:00:53.065618
810,2,Compass | Flik | Rodeph Sholom School,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2488,8,South Beach Wine and Food Festival,false,false,true,false,true,1,2017-10-30T15:10:29.224696
1611,7,Walmart | Memphis #1561 | Austin Peay,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3518,28,Shiftgig NY Grand Hotel,false,true,false,true,true,3,2017-10-29T12:45:01.314614
3552,10,Interstate Hotels | Streamsong Resort,false,false,false,false,true,1,2017-11-02T09:10:04.781786
1833,1,Do Not Use-Zurich Insurance,true,false,false,false,true,1,2017-09-21T20:00:53.065618
2540,2,Compass | CulinArt Group Catering Collection | Robbins Wolfe Eventeurs,false,false,false,false,true,1,2017-09-21T20:00:53.065618
799,1,Food For Thought | 1 Tower Lane,false,false,false,false,true,1,2017-09-21T20:00:53.065618
801,7,Avendra | Westin Hotel Downtown | Memphis,false,false,false,false,true,1,2018-01-22T16:07:27.439544
